64,-1,-1,-1,-1,-1,-1,-1,-1
56,61,-1,-1,-1,-1,-1,-1,-1
48,53,58,63,-1,1,-1,-1,-1
40,45,50,55,60,-1,-1,-1,-1
32,37,42,47,52,57,62,-1,-1
24,29,34,39,44,49,54,59,64
16,21,26,31,36,41,46,51,56
8,13,18,23,28,33,38,43,48
0,5,10,15,20,25,30,35,40
-1,-1,2,7,12,17,22,27,32
-1,-1,-1,-1,4,9,14,19,24
-1,-1,-1,-1,-1,1,6,11,16
-1,-1,-1,-1,-1,-1,-1,3,8
-1,-1,-1,-1,-1,-1,-1,-1,0
