64,-61,2,7,12,17,22,27
56,61,-58,-63,4,9,14,19
48,53,58,63,-60,1,6,11
40,45,50,55,60,-57,-62,3
32,37,42,47,52,57,62,-59
24,29,34,39,44,49,54,59
16,21,26,31,36,41,46,51
8,13,18,23,28,33,38,43
0,5,10,15,20,25,30,35
